idProject,Name,Description,startDate,endDate,Status
1,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-07-22,2021-05-22,COMPLETED
2,Rénovation de route,Projet Rénovation de route pour l'amélioration des infrastructures.,2020-11-04,2023-07-04,DELAYED
3,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-10-22,2022-03-22,DELAYED
4,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-09-15,2024-02-15,DELAYED
5,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-10-06,2021-05-06,DELAYED
6,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-05-25,2022-08-25,ON_GOING
7,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-07-07,2023-04-07,DELAYED
8,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-07-04,2023-10-04,ON_GOING
9,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-09-16,2024-01-16,DELAYED
10,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-05-25,2022-04-25,DELAYED
11,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-04-19,2022-04-19,ON_GOING
12,École primaire,Projet École primaire pour l'amélioration des infrastructures.,2020-10-09,2021-10-09,ON_GOING
13,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-08-09,2021-06-09,DELAYED
14,Logements sociaux,Projet Logements sociaux pour l'amélioration des infrastructures.,2020-04-20,2023-01-20,DELAYED
15,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-11-19,2022-11-19,ON_GOING
16,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-03-27,2023-10-27,DELAYED
17,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-01-14,2023-02-14,DELAYED
18,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-06-08,2021-05-08,DELAYED
19,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-02-23,2020-10-23,DELAYED
20,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-05-19,2021-09-19,ON_GOING
21,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-08-13,2022-06-13,DELAYED
22,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-10-04,2022-11-04,ON_GOING
23,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-11-05,2024-04-05,DELAYED
24,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-10-27,2023-07-27,ON_GOING
25,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-06-25,2022-05-25,DELAYED
26,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-08-22,2022-02-22,ON_GOING
27,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-10-20,2021-04-20,ON_GOING
28,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-12-12,2024-12-12,ON_GOING
29,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-07-13,2023-12-13,DELAYED
30,École primaire,Projet École primaire pour l'amélioration des infrastructures.,2020-12-25,2021-08-25,DELAYED
31,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-06-01,2023-05-01,ON_GOING
32,Rénovation de route,Projet Rénovation de route pour l'amélioration des infrastructures.,2020-05-22,2022-04-22,DELAYED
33,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-02-01,2022-03-01,DELAYED
34,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-07-07,2023-09-07,DELAYED
35,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-04-07,2022-07-07,COMPLETED
36,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-01-26,2021-04-26,DELAYED
37,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-07-27,2023-06-27,DELAYED
38,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-10-10,2022-09-10,COMPLETED
39,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-11-05,2022-10-05,ON_GOING
40,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-04-17,2022-05-17,ON_GOING
41,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-11-16,2024-10-16,DELAYED
42,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-01-26,2021-05-26,ON_GOING
43,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-10-27,2024-01-27,DELAYED
44,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-08-08,2021-07-08,DELAYED
45,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-06-24,2020-12-24,ON_GOING
46,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-09-18,2022-09-18,DELAYED
47,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-07-21,2021-04-21,ON_GOING
48,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-10-08,2023-01-08,ON_GOING
49,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-11-18,2023-10-18,ON_GOING
50,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-03-06,2023-08-06,DELAYED
51,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-12-25,2024-11-25,DELAYED
52,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-08-18,2021-12-18,DELAYED
53,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-09-28,2024-04-28,DELAYED
54,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-08-09,2021-05-09,ON_GOING
55,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-09-21,2022-11-21,DELAYED
56,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-08-10,2022-10-10,DELAYED
57,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-06-28,2023-07-28,ON_GOING
58,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-08-18,2021-07-18,DELAYED
59,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-01-22,2023-07-22,ON_GOING
60,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-06-18,2023-12-18,ON_GOING
61,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-09-03,2022-07-03,DELAYED
62,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-06-10,2021-11-10,COMPLETED
63,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-03-03,2023-05-03,DELAYED
64,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-12-26,2023-10-26,DELAYED
65,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-01-16,2024-01-16,DELAYED
66,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-03-28,2021-06-28,DELAYED
67,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-08-05,2021-02-05,DELAYED
68,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-01-10,2023-03-10,ON_GOING
69,École primaire,Projet École primaire pour l'amélioration des infrastructures.,2020-12-04,2021-10-04,ON_GOING
70,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-11-28,2021-05-28,DELAYED
71,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-06-23,2023-12-23,DELAYED
72,Logements sociaux,Projet Logements sociaux pour l'amélioration des infrastructures.,2020-06-21,2023-04-21,ON_GOING
73,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-09-11,2022-09-11,ON_GOING
74,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-12-08,2021-07-08,DELAYED
75,Logements sociaux,Projet Logements sociaux pour l'amélioration des infrastructures.,2020-05-01,2023-02-01,COMPLETED
76,École primaire,Projet École primaire pour l'amélioration des infrastructures.,2020-07-21,2023-09-21,DELAYED
77,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-01-09,2023-09-09,DELAYED
78,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-02-19,2022-09-19,DELAYED
79,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-12-22,2024-01-22,ON_GOING
80,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-05-12,2022-06-12,COMPLETED
81,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-01-13,2021-08-13,DELAYED
82,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-08-08,2023-02-08,ON_GOING
83,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-02-09,2021-12-09,ON_GOING
84,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-10-02,2022-03-02,COMPLETED
85,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-09-04,2023-06-04,ON_GOING
86,Logements sociaux,Projet Logements sociaux pour l'amélioration des infrastructures.,2020-11-07,2022-09-07,DELAYED
87,Rénovation de route,Projet Rénovation de route pour l'amélioration des infrastructures.,2020-06-25,2023-02-25,DELAYED
88,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-09-13,2021-11-13,DELAYED
89,Rénovation de route,Projet Rénovation de route pour l'amélioration des infrastructures.,2020-07-08,2023-12-08,ON_GOING
90,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-04-25,2021-06-25,ON_GOING
91,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-10-04,2023-07-04,DELAYED
92,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-01-13,2022-04-13,DELAYED
93,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-01-24,2022-04-24,DELAYED
94,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-02-09,2020-10-09,DELAYED
95,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-11-20,2023-05-20,DELAYED
96,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-01-02,2022-08-02,ON_GOING
97,École primaire,Projet École primaire pour l'amélioration des infrastructures.,2020-04-18,2021-11-18,DELAYED
98,Rénovation de route,Projet Rénovation de route pour l'amélioration des infrastructures.,2020-11-14,2024-03-14,DELAYED
99,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-12-02,2023-05-02,ON_GOING
100,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-08-20,2023-12-20,DELAYED
101,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-01-25,2023-01-25,DELAYED
102,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-09-20,2023-11-20,DELAYED
103,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-04-07,2022-02-07,DELAYED
104,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-04-24,2020-12-24,DELAYED
105,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-07-08,2024-01-08,ON_GOING
106,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-04-18,2024-03-18,ON_GOING
107,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-02-01,2023-01-01,DELAYED
108,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-06-22,2021-03-22,COMPLETED
109,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-08-24,2024-05-24,DELAYED
110,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-09-18,2021-06-18,DELAYED
111,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-03-20,2023-03-20,DELAYED
112,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-09-10,2023-07-10,DELAYED
113,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-12-07,2023-02-07,DELAYED
114,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-05-05,2021-09-05,DELAYED
115,École primaire,Projet École primaire pour l'amélioration des infrastructures.,2020-04-26,2020-12-26,DELAYED
116,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-11-17,2024-02-17,DELAYED
117,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-09-19,2021-09-19,DELAYED
118,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-04-12,2022-07-12,ON_GOING
119,Logements sociaux,Projet Logements sociaux pour l'amélioration des infrastructures.,2020-01-06,2023-03-06,ON_GOING
120,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-10-01,2024-05-01,DELAYED
121,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-09-10,2021-04-10,DELAYED
122,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-07-22,2023-08-22,COMPLETED
123,Tour d’affaires,Projet Tour d’affaires pour l'amélioration des infrastructures.,2020-01-08,2022-01-08,ON_GOING
124,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-08-10,2023-01-10,ON_GOING
125,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-03-11,2023-06-11,DELAYED
126,Logements sociaux,Projet Logements sociaux pour l'amélioration des infrastructures.,2020-07-06,2022-06-06,DELAYED
127,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-05-08,2022-11-08,DELAYED
128,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-01-21,2020-10-21,DELAYED
129,Rénovation de route,Projet Rénovation de route pour l'amélioration des infrastructures.,2020-10-07,2023-06-07,DELAYED
130,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-02-01,2021-06-01,ON_GOING
131,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-02-27,2021-02-27,DELAYED
132,Rénovation de route,Projet Rénovation de route pour l'amélioration des infrastructures.,2020-04-14,2024-04-14,DELAYED
133,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-10-21,2023-03-21,ON_GOING
134,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-06-02,2021-12-02,DELAYED
135,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-03-25,2021-12-25,DELAYED
136,Aéroport régional,Projet Aéroport régional pour l'amélioration des infrastructures.,2020-03-15,2021-12-15,ON_GOING
137,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-12-24,2021-09-24,DELAYED
138,Logements sociaux,Projet Logements sociaux pour l'amélioration des infrastructures.,2020-09-15,2023-07-15,ON_GOING
139,Logements sociaux,Projet Logements sociaux pour l'amélioration des infrastructures.,2020-07-19,2021-07-19,ON_GOING
140,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-07-05,2023-08-05,DELAYED
141,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-11-21,2023-10-21,DELAYED
142,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-03-23,2021-07-23,DELAYED
143,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-06-20,2023-04-20,DELAYED
144,École primaire,Projet École primaire pour l'amélioration des infrastructures.,2020-09-07,2023-03-07,COMPLETED
145,Hôpital public,Projet Hôpital public pour l'amélioration des infrastructures.,2020-06-21,2022-03-21,COMPLETED
146,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-03-05,2023-11-05,ON_GOING
147,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-12-21,2023-06-21,DELAYED
148,Rénovation de route,Projet Rénovation de route pour l'amélioration des infrastructures.,2020-12-14,2022-03-14,DELAYED
149,École primaire,Projet École primaire pour l'amélioration des infrastructures.,2020-12-27,2023-09-27,DELAYED
150,Barrage hydroélectrique,Projet Barrage hydroélectrique pour l'amélioration des infrastructures.,2020-12-03,2022-04-03,COMPLETED
151,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-08-02,2022-03-02,DELAYED
152,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-01-20,2023-06-20,DELAYED
153,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-12-17,2022-08-17,ON_GOING
154,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-03-26,2022-10-26,DELAYED
155,Rénovation de route,Projet Rénovation de route pour l'amélioration des infrastructures.,2020-02-03,2020-12-03,DELAYED
156,Centre commercial,Projet Centre commercial pour l'amélioration des infrastructures.,2020-01-11,2023-12-11,ON_GOING
157,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-02-08,2024-02-08,ON_GOING
158,Immeuble résidentiel,Projet Immeuble résidentiel pour l'amélioration des infrastructures.,2020-04-13,2024-01-13,DELAYED
159,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-12-26,2022-11-26,DELAYED
160,Usine de production,Projet Usine de production pour l'amélioration des infrastructures.,2020-09-11,2022-08-11,DELAYED
161,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-08-19,2022-09-19,DELAYED
162,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-04-02,2023-11-02,ON_GOING
163,École primaire,Projet École primaire pour l'amélioration des infrastructures.,2020-06-08,2023-08-08,DELAYED
164,Construction de pont,Projet Construction de pont pour l'amélioration des infrastructures.,2020-03-05,2021-03-05,ON_GOING
165,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-07-06,2021-11-06,DELAYED
166,Stade de football,Projet Stade de football pour l'amélioration des infrastructures.,2020-08-16,2021-12-16,COMPLETED
